Scientific_Name,Common_Name,LocalScale_Agriculture,LocalScale_Forestry,LocalScale_Energy,LocalScale_Urban/Industrial,LocalScale_Transportation,Total_Agriculture,Total_Forestry,Total_Energy,Total_Urban/Industrial,Total_Transportation
Empidonax alnorum,Alder Flycatcher,1.88,723.61,198.11,18.14,585.86,0.04,22.91,3.45,0.06,3.72
Corvus brachyrhynchos,American Crow,371.89,15.48,-48.57,211.13,-31.56,26.08,1.28,-1.15,1.61,-0.45
Spinus tristis,American Goldfinch,124.76,-41.62,-92.90,20.94,57.14,11.38,-3.76,-2.58,0.20,0.96
Setophaga ruticilla,American Redstart,-77.00,122.28,75.12,-56.94,-69.49,-4.15,7.65,1.50,-0.30,-0.68
Turdus migratorius,American Robin,33.04,87.01,126.74,47.81,205.16,1.21,7.07,2.28,0.21,2.23
Picoides dorsalis,American Three-toed Woodpecker,-99.47,-65.85,-66.72,-100.00,-46.24,-1.67,-4.40,-0.84,-1.44,-0.48
Icterus galbula,Baltimore Oriole,145.30,-17.74,-26.77,46.24,-47.96,19.62,-2.00,-0.78,0.47,-1.08
Hirundo rustica,Barn Swallow,346.89,-11.45,95.61,552.47,194.49,11.77,-1.02,2.15,2.80,2.28
Setophaga castanea,Bay-breasted Warbler,-90.27,-84.04,-80.14,-94.45,-99.72,-4.28,-11.80,-1.44,-0.58,-0.86
Mniotilta varia,Black and white warbler,-44.98,141.97,168.41,-29.50,39.60,-2.08,6.99,2.68,-0.14,0.27
Picoides arcticus,Black-backed Woodpecker,-72.63,223.54,126.57,-100.00,-19.30,-1.20,4.95,1.67,-0.44,-0.09
Pica hudsonia,Black-billed Magpie,515.41,-63.03,-93.24,390.26,-59.43,52.26,-4.30,-2.29,3.21,-0.99
Setophaga fusca,Blackburnian Warbler,-98.90,-96.03,-98.32,-98.40,-98.75,-9.36,-9.32,-2.04,-0.71,-1.13
Poecile atricapillus,Black-capped Chickadee,-27.83,-11.90,10.66,0.62,-17.02,-1.53,-1.32,0.22,0.00,-0.21
Setophaga striata,Blackpoll Warbler,9.48,33.43,-32.89,-100.00,-14.50,0.08,0.85,-0.50,-0.15,-0.07
Setophaga virens,Black-throated Green Warbler,-99.73,-88.41,-59.52,-96.05,-69.56,-5.87,-15.02,-1.10,-1.07,-0.97
Vireo solitarius,Blue-headed Vireo,-75.51,-68.84,-11.50,-67.73,-66.42,-3.29,-8.50,-0.23,-0.33,-0.67
Cyanocitta cristata,Blue Jay,-33.59,38.44,0.96,115.46,-26.15,-3.30,4.87,0.03,1.05,-0.44
Poecile hudsonicus,Boreal Chickadee,-90.73,-76.61,-75.91,-96.03,-72.89,-3.65,-9.46,-1.72,-0.46,-0.84
Euphagus cyanocephalus,Brewer's Blackbird,200.01,74.09,-79.46,122.59,324.37,10.29,2.93,-2.17,0.88,4.87
Certhia americana,Brown Creeper,-98.84,-92.31,-95.39,-100.00,-100.00,-6.06,-13.80,-1.90,-0.57,-1.12
Molothrus ater,Brown-headed Cowbird,-6.00,-27.55,151.92,-11.38,-65.22,-0.34,-2.66,3.54,-0.09,-1.11
Perisoreus canadensis,Canada Jay,-87.95,-29.08,-33.08,-70.11,-89.17,-2.45,-2.51,-0.61,-0.26,-0.71
Cardellina canadensis,Canada Warbler,-97.72,-78.53,-74.45,-100.00,-80.81,-6.69,-9.65,-1.37,-0.62,-0.85
Setophaga tigrina,Cape May Warbler,-92.27,-80.93,-52.56,-50.90,-98.97,-3.75,-7.35,-0.94,-0.27,-0.67
Bombycilla cedrorum,Cedar Waxwing,-31.70,34.88,28.33,-24.87,-18.35,-1.36,3.39,0.55,-0.13,-0.21
Setophaga pensylvanica,Chestnut-sided Warbler,-69.20,-55.03,26.53,-100.00,-97.16,-2.64,-2.82,0.59,-1.06,-1.16
Spizella passerina,Chipping Sparrow,-67.41,-22.63,-11.53,-40.17,-24.67,-1.57,-1.54,-0.20,-0.14,-0.19
Spizella pallida,Clay-colored Sparrow,179.68,312.61,-17.12,85.15,125.22,12.05,15.12,-0.37,0.62,1.53
Chordeiles minor,Common Nighthawk,57.15,6.09,-30.93,-43.50,-14.10,0.55,0.12,-0.40,-0.21,-0.05
Corvus corax,Common Raven,81.21,63.91,11.07,-7.46,-21.18,3.62,5.72,0.22,-0.04,-0.24
Geothlypis trichas,Common Yellowthroat,-30.39,598.80,88.57,-32.59,374.62,-1.10,12.72,1.69,-0.14,2.67
Oporornis agilis,Connecticut Warbler,-21.04,-10.52,17.02,-36.99,-17.55,-1.06,-1.18,0.45,-0.25,-0.25
Junco hyemalis,Dark-eyed Junco,-85.65,-29.26,-30.44,-59.11,-87.18,-1.25,-1.81,-0.57,-0.17,-0.62
Picoides pubescens,Downy Woodpecker,-18.00,74.01,3.87,-53.86,-18.31,-0.86,6.24,0.07,-0.32,-0.19
Tyrannus tyrannus,Eastern Kingbird,77.91,63.40,-74.62,-4.70,-66.60,2.83,1.08,-1.76,-0.02,-0.58
Sayornis phoebe,Eastern Phoebe,36.99,0.00,-7.93,-42.72,-22.89,1.58,0.00,-0.14,-0.31,-0.18
