"","SpeciesID","ScientificName","speciesCode","TSNID","CommonName","Rank","Taxon"
"AlderFlycatcher","AlderFlycatcher","Empidonax alnorum","ALFL",99002622,"Alder Flycatcher","Species","Birds"
"AmericanCrow","AmericanCrow","Corvus brachyrhynchos","AMCR",179731,"American Crow","Species","Birds"
"AmericanGoldfinch","AmericanGoldfinch","Spinus tristis","AMGO",99001435,"American Goldfinch","Species","Birds"
"AmericanRedstart","AmericanRedstart","Setophaga ruticilla","AMRE",178979,"American Redstart","Species","Birds"
"AmericanRobin","AmericanRobin","Turdus migratorius","AMRO",179759,"American Robin","Species","Birds"
"AmericanThreetoedWoodpecker","AmericanThreetoedWoodpecker","Picoides dorsalis","ATTW",685725,"American Three-toed Woodpecker","Species","Birds"
"BaltimoreOriole","BaltimoreOriole","Icterus galbula","BAOR",179083,"Baltimore Oriole","Species","Birds"
"BarnSwallow","BarnSwallow","Hirundo rustica","BARS",99002653,"Barn Swallow","Species","Birds"
"BaybreastedWarbler","BaybreastedWarbler","Setophaga castanea","BBWA",99001404,"Bay-breasted Warbler","Species","Birds"
"BlackAndWhiteWarbler","BlackAndWhiteWarbler","Mniotilta varia","BAWW",178844,"Black-and-white Warbler","Species","Birds"
"BlackbackedWoodpecker","BlackbackedWoodpecker","Picoides arcticus","BBWO",178250,"Black-backed Woodpecker","Species","Birds"
"BlackbilledMagpie","BlackbilledMagpie","Pica hudsonia","BBMA",726117,"Black-billed Magpie","Species","Birds"
"BlackburnianWarbler","BlackburnianWarbler","Setophaga fusca","BLBW",99001403,"Blackburnian Warbler","Species","Birds"
"BlackcappedChickadee","BlackcappedChickadee","Poecile atricapillus","BCCH",554382,"Black-capped Chickadee","Species","Birds"
"BlackpollWarbler","BlackpollWarbler","Setophaga striata","BLPW",99001405,"Blackpoll Warbler","Species","Birds"
"BlackthroatedGreenWarbler","BlackthroatedGreenWarbler","Setophaga virens","BTNW",99001402,"Black-throated Green Warbler","Species","Birds"
"BlueJay","BlueJay","Cyanocitta cristata","BLJA",179680,"Blue Jay","Species","Birds"
"BlueheadedVireo","BlueheadedVireo","Vireo solitarius","BHVI",179010,"Blue-headed Vireo","Species","Birds"
"BorealChickadee","BorealChickadee","Poecile hudsonicus","BOCH",554386,"Boreal Chickadee","Species","Birds"
"BrewersBlackbird","BrewersBlackbird","Euphagus cyanocephalus","BRBL",179094,"Brewer's Blackbird","Species","Birds"
"BrownCreeper","BrownCreeper","Certhia americana","BRCR",99002654,"Brown Creeper","Species","Birds"
"BrownheadedCowbird","BrownheadedCowbird","Molothrus ater","BHCO",179112,"Brown-headed Cowbird","Species","Birds"
"CanadaJay","CanadaJay","Perisoreus canadensis","GRAJ",179667,"Canada Jay","Species","Birds"
"CanadaWarbler","CanadaWarbler","Cardellina canadensis","CAWA",99001416,"Canada Warbler","Species","Birds"
