Scientific_Name,Common_Name,Energy Seismic,Energy Soft Linear,Transportation Soft Linear,Transportation Hard Linear,,,,,,,,,,,,,,,,,,,
Empidonax alnorum,Alder Flycatcher,-20.00,703.51,773.55,-100.00,,,,,,,,,,,,,,,,,,,
Corvus brachyrhynchos,American Crow,-99.62,68.64,-10.98,-100.00,,,,,,,,,,,,,,,,,,,
Spinus tristis,American Goldfinch,-99.61,-76.80,104.30,-100.00,,,,,,,,,,,,,,,,,,,
Setophaga ruticilla,American Redstart,125.16,114.70,-60.40,-100.00,,,,,,,,,,,,,,,,,,,
Turdus migratorius,American Robin,4.03,298.05,290.22,-100.00,,,,,,,,,,,,,,,,,,,
Picoides dorsalis,American Three-toed Woodpecker,-53.11,-49.08,-32.04,-100.00,,,,,,,,,,,,,,,,,,,
Icterus galbula,Baltimore Oriole,-99.99,132.78,-31.66,-100.00,,,,,,,,,,,,,,,,,,,
Hirundo rustica,Barn Swallow,-100.00,-74.31,275.07,-100.00,,,,,,,,,,,,,,,,,,,
Setophaga castanea,Bay-breasted Warbler,-67.81,-82.26,-99.64,-100.00,,,,,,,,,,,,,,,,,,,
Mniotilta varia,Black and white warbler,253.02,245.03,82.73,-100.00,,,,,,,,,,,,,,,,,,,
Picoides arcticus,Black-backed Woodpecker,-27.46,-24.32,7.59,-100.00,,,,,,,,,,,,,,,,,,,
Pica hudsonia,Black-billed Magpie,-100.00,-88.67,-45.97,-100.00,,,,,,,,,,,,,,,,,,,
Setophaga fusca,Blackburnian Warbler,-98.10,-98.13,-98.32,-100.00,,,,,,,,,,,,,,,,,,,
Poecile atricapillus,Black-capped Chickadee,29.16,23.17,6.46,-100.00,,,,,,,,,,,,,,,,,,,
Setophaga striata,Blackpoll Warbler,-17.14,-19.52,5.02,-100.00,,,,,,,,,,,,,,,,,,,
Setophaga virens,Black-throated Green Warbler,-40.83,-55.20,-60.32,-100.00,,,,,,,,,,,,,,,,,,,
Vireo solitarius,Blue-headed Vireo,14.06,0.79,-56.92,-100.00,,,,,,,,,,,,,,,,,,,
Cyanocitta cristata,Blue Jay,18.37,14.45,-2.26,-100.00,,,,,,,,,,,,,,,,,,,
Poecile hudsonicus,Boreal Chickadee,-66.55,-66.59,-65.71,-100.00,,,,,,,,,,,,,,,,,,,
Euphagus cyanocephalus,Brewer's Blackbird,-100.00,-32.00,446.21,-100.00,,,,,,,,,,,,,,,,,,,
Certhia americana,Brown Creeper,-100.00,-88.45,-100.00,-100.00,,,,,,,,,,,,,,,,,,,
Molothrus ater,Brown-headed Cowbird,186.57,354.15,-55.65,-100.00,,,,,,,,,,,,,,,,,,,
Perisoreus canadensis,Canada Jay,-21.58,-34.21,-86.30,-100.00,,,,,,,,,,,,,,,,,,,
Cardellina canadensis,Canada Warbler,-100.00,3.57,-74.43,-100.00,,,,,,,,,,,,,,,,,,,
Setophaga tigrina,Cape May Warbler,-38.45,-56.04,-98.66,-100.00,,,,,,,,,,,,,,,,,,,
Bombycilla cedrorum,Cedar Waxwing,11.75,11.61,4.36,-100.00,,,,,,,,,,,,,,,,,,,
Setophaga pensylvanica,Chestnut-sided Warbler,-100.00,-45.28,-96.23,-100.00,,,,,,,,,,,,,,,,,,,
Spizella passerina,Chipping Sparrow,-9.40,-10.16,-5.07,-100.00,,,,,,,,,,,,,,,,,,,
Spizella pallida,Clay-colored Sparrow,-92.37,155.03,197.87,-100.00,,,,,,,,,,,,,,,,,,,
Chordeiles minor,Common Nighthawk,-14.40,-14.45,13.10,-100.00,,,,,,,,,,,,,,,,,,,
Corvus corax,Common Raven,0.63,-0.46,0.87,-100.00,,,,,,,,,,,,,,,,,,,
Geothlypis trichas,Common Yellowthroat,-22.89,420.63,511.65,-100.00,,,,,,,,,,,,,,,,,,,
Oporornis agilis,Connecticut Warbler,32.08,19.94,6.20,-100.00,,,,,,,,,,,,,,,,,,,
Junco hyemalis,Dark-eyed Junco,-23.99,-33.54,-84.07,-100.00,,,,,,,,,,,,,,,,,,,
Picoides pubescens,Downy Woodpecker,23.10,21.96,4.82,-100.00,,,,,,,,,,,,,,,,,,,
Tyrannus tyrannus,Eastern Kingbird,-77.47,-71.20,-57.68,-100.00,,,,,,,,,,,,,,,,,,,
Sayornis phoebe,Eastern Phoebe,20.47,17.11,2.61,-100.00,,,,,,,,,,,,,,,,,,,
Sturnus vulgaris,European Starling,-100.00,-99.90,-86.88,-100.00,,,,,,,,,,,,,,,,,,,
Coccothraustes vespertinus,Evening Grosbeak,28.64,142.27,-69.31,-100.00,,,,,,,,,,,,,,,,,,,
Passerella iliaca,Fox Sparrow,-13.71,-18.89,9.64,-100.00,,,,,,,,,,,,,,,,,,,
Regulus satrapa,Golden-crowned Kinglet,-75.65,-93.66,-96.99,-100.00,,,,,,,,,,,,,,,,,,,
Dumetella carolinensis,Gray Catbird,28.32,25.21,0.13,-100.00,,,,,,,,,,,,,,,,,,,
Tringa melanoleuca,Greater Yellowlegs,-32.46,-33.67,-99.32,-100.00,,,,,,,,,,,,,,,,,,,
Picoides villosus,Hairy Woodpecker,20.07,17.77,-6.61,-100.00,,,,,,,,,,,,,,,,,,,
Catharus guttatus,Hermit Thrush,107.84,-7.29,-37.73,-100.00,,,,,,,,,,,,,,,,,,,
Eremophila alpestris,Horned Lark,-100.00,-75.16,-99.99,-100.00,,,,,,,,,,,,,,,,,,,
Passer domesticus,House Sparrow,-100.00,-88.82,-71.95,-100.00,,,,,,,,,,,,,,,,,,,
Troglodytes aedon,House Wren,-94.52,-18.78,-55.54,-100.00,,,,,,,,,,,,,,,,,,,
Charadrius vociferus,Killdeer,-12.12,541.31,214.73,-100.00,,,,,,,,,,,,,,,,,,,
Empidonax minimus,Least Flycatcher,34.06,-37.25,-15.45,-100.00,,,,,,,,,,,,,,,,,,,
Ammodramus leconteii,Le Conte's Sparrow,-99.77,762.61,165.54,-100.00,,,,,,,,,,,,,,,,,,,
Tringa flavipes,Lesser Yellowlegs,-39.39,-36.58,-22.15,-100.00,,,,,,,,,,,,,,,,,,,
Melospiza lincolnii,Lincoln's Sparrow,-14.93,257.35,344.04,-100.00,,,,,,,,,,,,,,,,,,,
Setophaga magnolia,Magnolia Warbler,-3.37,183.47,-79.03,-100.00,,,,,,,,,,,,,,,,,,,
Cistothorus palustris,Marsh Wren,-35.00,-40.39,-39.42,-100.00,,,,,,,,,,,,,,,,,,,
Poecile gambeli,Mountain Chickadee,-97.63,-94.65,-83.01,-100.00,,,,,,,,,,,,,,,,,,,
Zenaida macroura,Mourning Dove,31.11,21.98,-2.13,-100.00,,,,,,,,,,,,,,,,,,,
Geothlypis philadelphia,Mourning Warbler,-99.96,58.79,146.13,-100.00,,,,,,,,,,,,,,,,,,,
Ammodramus nelsoni,Nelson's Sparrow,-100.00,-99.57,-99.75,-100.00,,,,,,,,,,,,,,,,,,,
Colaptes auratus,Northern Flicker,-2.81,352.19,381.39,-100.00,,,,,,,,,,,,,,,,,,,
Parkesia noveboracensis,Northern Waterthrush,-8.79,-6.50,-4.17,-100.00,,,,,,,,,,,,,,,,,,,
Contopus cooperi,Olive-sided Flycatcher,-99.16,-50.11,-99.54,-100.00,,,,,,,,,,,,,,,,,,,
Oreothlypis celata,Orange-crowned Warbler,82.36,112.35,147.28,-100.00,,,,,,,,,,,,,,,,,,,
Seiurus aurocapilla,Ovenbird,-33.73,-55.87,-96.06,-100.00,,,,,,,,,,,,,,,,,,,
Setophaga palmarum,Palm Warbler,54.51,-86.19,-96.59,-100.00,,,,,,,,,,,,,,,,,,,
Vireo philadelphicus,Philadelphia Vireo,54.53,44.80,8.02,-100.00,,,,,,,,,,,,,,,,,,,
Dryocopus pileatus,Pileated Woodpecker,9.98,8.19,-5.22,-100.00,,,,,,,,,,,,,,,,,,,
Spinus pinus,Pine Siskin,-88.80,-8.55,-83.33,-100.00,,,,,,,,,,,,,,,,,,,
Haemorhous purpureus,Purple Finch,13.59,5.03,-6.54,-100.00,,,,,,,,,,,,,,,,,,,
Sitta canadensis,Red-breasted Nuthatch,-97.58,-32.53,-41.72,-100.00,,,,,,,,,,,,,,,,,,,
Vireo olivaceus,Red-eyed Vireo,88.32,164.34,-14.23,-100.00,,,,,,,,,,,,,,,,,,,
Agelaius phoeniceus,Red-winged Blackbird,-97.79,269.88,267.28,-100.00,,,,,,,,,,,,,,,,,,,
Columba livia,Rock Pigeon,-100.00,2467.43,2884.32,-100.00,,,,,,,,,,,,,,,,,,,
